api,method,path,status,ok,duration_ms,size,note,url
portal_transparencia,GET,/pessoa-juridica,200,True,138,431,,https://api.portaldatransparencia.gov.br/api-de-dados/pessoa-juridica
portal_transparencia,GET,/renuncias-fiscais-empresas-imunes-isentas,200,True,158,6121,,https://api.portaldatransparencia.gov.br/api-de-dados/renuncias-fiscais-empresas-imunes-isentas
portal_transparencia,GET,/permissionarios,200,True,405,8879,,https://api.portaldatransparencia.gov.br/api-de-dados/permissionarios
portal_transparencia,GET,/renuncias-fiscais-empresas-habilitadas-beneficios-fiscais,200,True,156,11725,,https://api.portaldatransparencia.gov.br/api-de-dados/renuncias-fiscais-empresas-habilitadas-beneficios-fiscais
portal_transparencia,GET,/peps,200,True,290,5172,,https://api.portaldatransparencia.gov.br/api-de-dados/peps
portal_transparencia,GET,/notas-fiscais,400,True,99,96,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/notas-fiscais
brasil_api,GET,/cnpj/v1/00000000000191,200,True,100,20585,,https://brasilapi.com.br/api/cnpj/v1/00000000000191
portal_transparencia,GET,/notas-fiscais-por-chave,400,True,111,177,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/notas-fiscais-por-chave
brasil_api,GET,/taxas/v1,200,True,89,86,,https://brasilapi.com.br/api/taxas/v1
brasil_api,GET,/banks/v1,200,True,94,40750,,https://brasilapi.com.br/api/banks/v1
brasil_api,GET,/ddd/v1/11,200,True,84,949,,https://brasilapi.com.br/api/ddd/v1/11
brasil_api,GET,/ibge/uf/v1,200,True,78,2446,,https://brasilapi.com.br/api/ibge/uf/v1
brasil_api,GET,/ibge/municipios/v1/MG,200,True,85,41329,,https://brasilapi.com.br/api/ibge/municipios/v1/MG
brasil_api,GET,/feriados/v1/2025,200,True,79,859,,https://brasilapi.com.br/api/feriados/v1/2025
portal_transparencia,GET,/coronavirus/auxilio-emergencial,403,False,332,0,HTTP 403,https://api.portaldatransparencia.gov.br/api-de-dados/coronavirus/auxilio-emergencial
brasil_api,GET,/pix/v1/participants,200,True,109,243938,,https://brasilapi.com.br/api/pix/v1/participants
portal_transparencia,GET,/renuncias-valor,200,True,3906,11381,,https://api.portaldatransparencia.gov.br/api-de-dados/renuncias-valor
